name,address,locality,coordinates.latitude+,coordinates.longitude+,hours.sun,hours.mon,hours.tue,hours.wed,hours.thu,hours.fri,hours.sat
El Patio of Old Town,"2611 San Diego Ave, San Diego 92110",Old Town,32.753389,-117.1959528,,,,,,,
El Patron,"12265 Scripps Poway Pkwy, Poway 92064",Poway,32.934469,-117.062542,,,,,,,
El Patron Mexican Food,"5065 Logan Ave, San Diego 92113",Encanto,32.6964258,-117.0863308,,,,,,,
El Patron Mexican Grill,"15817 Bernardo Center Dr, San Diego 92127",Rancho Bernardo,33.005117,-117.09156,,,,,,,
El Patron Traditional Mexican,"9460 Mira Mesa Blvd, San Diego 92126",Mira Mesa,32.917436,-117.122227,,,,,,,
El Pollo Grill,"7836 Broadway, Lemon Grove 91945",Lemon Grove,32.742937,-117.029781,,,,,,,
El Pollo Loco,"3444 Midway Drive, San Diego 92110",Point Loma,32.7510758,-117.2128932,,,,,,,
El Pollo Loco,"1535 Palm Avenue, San Diego 92154",Egger Highlands,32.5834439,-117.1003881,,,,,,,
El Pollo Loco,"5415 El Cajon Boulevard, San Diego 92115",City Heights East,32.7575117,-117.0790269,,,,,,,
El Pollo Loco,4990 Baltimore Drive 91942,La Mesa,32.7692743,-117.0250566,,,,,,,
El Pollo Loco,"2795 Main Street, San Diego 92113",Barrio Logan,32.692663,-117.133936,,,,,,,
El Pollo Loco,"2017 Camino Del Este, San Diego 92108",Mission Valley,32.7709433,-117.1442063,,,,,,,
El Pollo Loco,"10715 Scripps Poway Parkway, San Diego 92131",Scripps Ranch,32.9365382,-117.0977912,,,,,,,
El Pollo Loco,"6121 Mission Gorge Road, San Diego 92120",Grantville,32.7858917,-117.0973699,,,,,,,
El Pollo Loco,"12847 El Camino Real, San Diego 92130",Carmel Valley,32.9508422,-117.2342092,,,,,,,
El Pollo Loco,"7087 Broadway, Lemon Grove 91945",Lemon Grove,32.7421908,-117.0455492,,,,,,,
El Pollo Loco,"11895 Carmel Mountain Road, San Diego 92128",Carmel Mountain,32.9813139,-117.0767786,,,,,,,
El Pollo Loco,"1408 E Valley Parkway, Escondido 92027",Escondido,33.1325939,-117.0633028,,,,,,,
El Pollo Loco,"1145 Avocado Avenue, El Cajon 92020",El Cajon,32.779682,-116.957834,,,,,,,
El Portal,"1655 Brandywine Avenue, Chula Vista 91911",Chula Vista,32.601273,-117.029136,,,,,,,
El Portal Fresh Mexican Grill,"5618 Mission Center Road, San Diego 92108",Mission Valley,32.776158,-117.154351,,,,,,,
El Portal Fresh Mexican Grill,"4101 Genesee Ave, San Diego 92111",Clairemont,32.817486,-117.180724,,,,,,,
El Ranchero Taco Shop,"4370 Palm Ave, San Diego 92154",Otay Mesa West,32.583879,-117.03972,,,,,,,
El Ranchero Taco Shop,"3344 Main Street, Chula Vista 91911",Chula Vista,32.594894,-117.061438,,,,,,,
El Ranchito Taco Shop,"13654 Poway Road, Poway 92064",Poway,32.956637,-117.035722,,,,,,,
El Ranchito Taco Shop,"14149 Twin Peaks Road, Poway 92064",Poway,32.97758,-117.023909,,,,,,,
El Real Mexican Food,"2335 Reo Dr, San Diego 92139",Paradise Hills,32.676259,-117.065081,,,,,,,
El Real Mexican Food,"5058 Imperial Ave, San Diego 92113",Encanto,32.704401,-117.085694,,,,,,,
El Rey Moro Taco Shop,"4471 Clairemont Mesa Blvd, San Diego 92117",Clairemont,32.8344038,-117.1957006,,,,,,,
El Rey Taco Shop,"4386 Moraga Ave, San Diego 92117",Clairemont,32.8232717,-117.2141278,,,,,,,
El Roberto,"12370 Poway Rd, Poway 92064",Poway,32.952036,-117.063368,,,,,,,
El Rodeo,"5149 Waring Rd, San Diego 92120",Grantville,32.791412,-117.081774,,,,,,,
El Rodeo Mexican Food,"6187 University Ave, San Diego 92115",Rolando/Redwood Village,32.753381,-117.062413,,,,,,,
El Rodeo Mexican Food,"6924 El Cajon Blvd, San Diego 92115",College Area,32.768837,-117.048682,,,,,,,
El Sol Mexican,"2037 University Avenue, San Diego 92104",North Park,32.748263,-117.142862,,,,,,,
El Tocayo Mexican Food,"106 Calle Primera, San Diego 92173",San Ysidro,32.550327,-117.044361,,,,,,,
El Torito,"5024 Baltimore Dr, La Mesa 91941",La Mesa,32.770494,-117.025904,,,,,,,
El Torito,"8223 Mira Mesa Blvd, San Diego 92126",Mira Mesa,32.912463,-117.146458,,,,,,,
El Torito,"3030 Plaza Bonita Rd, National City 91950",National City,32.656186,-117.065741,,,,,,,
El Zarape,"3201 Adams Ave, San Diego 92116",Normal Heights,32.763286,-117.124847,,,,,,,
El Zarape Mexican,"4642 Park Blvd, San Diego 92116",University Heights,32.761633,-117.146462,,,,,,,
Elena's Mexican Food,"10920 Roselle St, San Diego 92121",Sorrento Valley,32.901805,-117.225376,,,,,,,
Emilianos Mexican,"6690 Mission Gorge Rd, San Diego 92120",Grantville,32.795299,-117.09615,,,,,,,
En Fuego Cantina & Grill,"1342 Camino Del Mar, Del Mar 92014",Del Mar,32.957951,-117.264932,,,,,,,
Ernesto's Taco Shop,"3182 National Ave, San Diego 92113",Logan Heights/Sherman Heights,32.696137,-117.12575,,,,,,,
Family House of Pancakes,"1900 E Plaza Blvd, National City 91950",National City,32.676371,-117.086631,,,,,,,
Fat Fish Cantina,"4474 Mission Boulevard, San Diego 92109",Pacific Beach,32.796186,-117.2555049,,,,,,,
Fidel's Little Mexico,"607 Valley Ave, Solana Beach 92075",Solana Beach,32.989102,-117.258689,,,,,,,
